epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.16327787935733795,0.0005000000237487257,3.2463552951812744,0.12931033968925476,3.5476412773132324
1,0.4226740598678589,0.0005000000237487257,2.115633010864258,0.4655172526836395,1.8307650089263916
2,0.5871842503547668,0.0005000000237487257,1.5222970247268677,0.6896551847457886,1.1531107425689697
3,0.723967969417572,0.0005000000237487257,1.0984718799591064,0.7456896305084229,0.8432205319404602
4,0.8009858131408691,0.0005000000237487257,0.8710635304450989,0.8620689511299133,0.5784450173377991
5,0.8508933782577515,0.0005000000237487257,0.6903677582740784,0.8965517282485962,0.4862890839576721
6,0.8773875832557678,0.0005000000237487257,0.5889203548431396,0.892241358757019,0.43432262539863586
7,0.8983364105224609,0.0005000000237487257,0.5004197359085083,0.9137930870056152,0.4075794517993927
8,0.9100431203842163,0.0005000000237487257,0.4322640895843506,0.9267241358757019,0.386864572763443
9,0.933456540107727,0.0005000000237487257,0.377186119556427,0.931034505367279,0.3575175404548645
10,0.9482439756393433,0.0005000000237487257,0.32141563296318054,0.9396551847457886,0.27868303656578064
11,0.9445471167564392,0.0005000000237487257,0.3082265853881836,0.9353448152542114,0.3676506280899048
12,0.9642637372016907,0.0005000000237487257,0.25998687744140625,0.9353448152542114,0.3104776442050934
13,0.9710412621498108,0.0005000000237487257,0.23171846568584442,0.943965494632721,0.30510571599006653
14,0.9765865802764893,0.0005000000237487257,0.20068368315696716,0.9267241358757019,0.3189740777015686
15,0.9784349799156189,0.0005000000237487257,0.18689048290252686,0.9267241358757019,0.3245728611946106
16,0.9667282700538635,0.0005000000237487257,0.20674361288547516,0.9353448152542114,0.37172508239746094
17,0.975970447063446,0.0005000000237487257,0.19269300997257233,0.9525862336158752,0.3076304495334625
18,0.9827479720115662,0.0005000000237487257,0.17795224487781525,0.9267241358757019,0.32087764143943787
19,0.982131838798523,0.0005000000237487257,0.17809756100177765,0.9396551847457886,0.3333291709423065
20,0.9876771569252014,0.0005000000237487257,0.15711016952991486,0.9353448152542114,0.3335815668106079
21,0.9864448308944702,0.0005000000237487257,0.14302313327789307,0.9525862336158752,0.3378356099128723
22,0.9889094233512878,0.0005000000237487257,0.14375662803649902,0.943965494632721,0.3015550374984741
23,0.9907578825950623,0.0002500000118743628,0.12781958281993866,0.943965494632721,0.28565460443496704
24,0.9926062822341919,0.0002500000118743628,0.11445025354623795,0.943965494632721,0.3207547664642334
25,0.9913740158081055,0.0002500000118743628,0.1146102100610733,0.9525862336158752,0.33647528290748596
26,0.9938385486602783,0.0002500000118743628,0.10923368483781815,0.9396551847457886,0.3435961604118347
27,0.996303141117096,0.0002500000118743628,0.10130996257066727,0.9568965435028076,0.2962782084941864
28,0.9944547414779663,0.0002500000118743628,0.11007407307624817,0.9353448152542114,0.29769790172576904
29,0.9926062822341919,0.0002500000118743628,0.10810606926679611,0.9525862336158752,0.2747855484485626
30,0.9938385486602783,0.0002500000118743628,0.10934445261955261,0.9525862336158752,0.27515193819999695
31,0.9956870079040527,0.0002500000118743628,0.10261529684066772,0.9525862336158752,0.3199253976345062
32,0.9944547414779663,0.0002500000118743628,0.10674586147069931,0.9525862336158752,0.2849871516227722
33,0.9944547414779663,0.0002500000118743628,0.09977581351995468,0.9612069129943848,0.2926468551158905
34,0.9926062822341919,0.0002500000118743628,0.102238729596138,0.9568965435028076,0.29741647839546204
35,0.9932224154472351,0.0002500000118743628,0.09944508969783783,0.9482758641242981,0.29015693068504333
36,0.9950708746910095,0.0002500000118743628,0.09671089798212051,0.9525862336158752,0.30746179819107056
37,0.9913740158081055,0.0002500000118743628,0.09973050653934479,0.9525862336158752,0.3033350110054016
38,0.9938385486602783,0.0002500000118743628,0.0944405123591423,0.9525862336158752,0.28537485003471375
39,0.9956870079040527,0.0002500000118743628,0.10027726739645004,0.9482758641242981,0.3123543858528137
40,0.9938385486602783,0.0002500000118743628,0.09741971641778946,0.9525862336158752,0.27945002913475037
41,0.9944547414779663,0.0002500000118743628,0.09714625775814056,0.9568965435028076,0.29991382360458374
42,0.9956870079040527,0.0001250000059371814,0.09441087394952774,0.9568965435028076,0.2888273596763611
43,0.9950708746910095,0.0001250000059371814,0.09536194056272507,0.9482758641242981,0.29941269755363464
44,0.9944547414779663,0.0001250000059371814,0.0933140218257904,0.9568965435028076,0.30980977416038513
45,0.9944547414779663,0.0001250000059371814,0.08973392099142075,0.9482758641242981,0.3088659346103668
